API,Basin,Cnty_Name,FieldName,AreaName,PoolName,First0fFirstProdthenInjDate,FirstProdDate,FirstInjDate,DOGGR_API,searched_DOGGR_API,frac_confirmed_DOGGR_API,frac_pack_DOGGR_API
04-030-24200,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,4/1/04,4/1/04,4/1/04,03024200,,,
04-030-24201,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,4/1/04,03024201,,,
04-030-24202,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,4/1/04,4/1/04,4/1/04,03024202,,,
04-030-24203,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024203,03024203,03024203,
04-030-24204,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024204,,,
04-030-24205,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,5/1/04,5/1/04,,03024205,,,
04-030-24206,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024206,,,
04-030-24207,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024207,,,
04-030-24208,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024208,,,
04-030-24209,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024209,,,
04-030-24210,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024210,,,
04-030-24211,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024211,03024211,03024211,
04-030-24213,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,4/1/04,4/1/04,4/1/04,03024213,,,
04-030-24214,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,4/1/04,03024214,,,
04-030-24215,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,5/1/04,03024215,,,
04-030-24216,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,4/1/04,03024216,,,
04-030-24217,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,4/1/04,03024217,03024217,,
04-030-24218,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,4/1/04,4/1/04,4/1/04,03024218,,,
04-030-24219,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,4/1/04,4/1/04,4/1/04,03024219,,,
04-030-24220,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,4/1/04,03024220,,,
04-030-24221,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,4/1/04,03024221,,,
04-030-24222,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,4/1/04,03024222,,,
04-030-24223,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,4/1/04,4/1/04,4/1/04,03024223,,,
04-030-24224,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,4/1/04,4/1/04,4/1/04,03024224,,,
04-030-24225,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,4/1/04,03024225,,,
04-030-24226,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,5/1/04,5/1/04,4/1/04,03024226,,,
04-030-24227,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,8/1/04,8/1/04,9/1/09,03024227,,,
04-030-24228,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,5/1/04,03024228,,,
04-030-24229,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,4/1/04,03024229,,,
04-030-24230,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,10/1/04,03024230,,,
04-030-24231,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,6/1/04,6/1/04,6/1/04,03024231,,,
04-030-24232,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,3/1/04,3/1/04,4/1/04,03024232,,,
04-030-24233,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,3/1/04,3/1/04,4/1/04,03024233,,,
04-030-24234,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,4/1/04,4/1/04,,03024234,,,
04-030-24235,San Joaquin,Kern,Lost Hills,Any Area,Cahn,3/1/04,3/1/04,,03024235,,,
04-030-24236,San Joaquin,Kern,Lost Hills,Any Area,Cahn,3/1/04,3/1/04,,03024236,,,
04-030-24238,San Joaquin,Kern,"Belridge, South",Any Area,Tulare,3/1/04,,3/1/04,03024238,03024238,,
04-030-24241,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,,5/1/04,03024241,,,
04-030-24242,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,,5/1/04,03024242,,,
04-030-24243,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,,5/1/04,03024243,,,
04-030-24245,San Joaquin,Kern,Any Field,Any Area,No Pool Breakdown,7/1/05,7/1/05,,03024245,,,
04-030-24246,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024246,,,
04-030-24247,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024247,,,
04-030-24248,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,5/1/04,5/1/04,,03024248,,,
04-030-24249,San Joaquin,Kern,Elk Hills,Any Area,Upper (Undifferentiated),5/1/04,5/1/04,,03024249,03024249,03024249,
04-030-24250,San Joaquin,Kern,Elk Hills,Any Area,Upper (Undifferentiated),5/1/04,5/1/04,9/1/10,03024250,,,
04-030-24251,San Joaquin,Kern,Elk Hills,Any Area,Upper (Undifferentiated),4/1/04,4/1/04,,03024251,03024251,03024251,
04-030-24252,San Joaquin,Kern,Elk Hills,Any Area,Upper (Undifferentiated),4/1/04,4/1/04,,03024252,,,
04-030-24253,San Joaquin,Kern,Elk Hills,Any Area,Upper (Undifferentiated),4/1/04,4/1/04,,03024253,,,
04-030-24254,San Joaquin,Kern,Elk Hills,Any Area,Stevens (29R),4/1/04,4/1/04,,03024254,,,
04-030-24255,San Joaquin,Kern,"Belridge, South",Any Area,Tulare,4/1/04,4/1/04,10/1/04,03024255,,,
04-030-24256,San Joaquin,Kern,"Belridge, South",Any Area,Tulare,4/1/04,4/1/04,,03024256,,,
04-030-24257,San Joaquin,Kern,"Belridge, South",Any Area,Tulare,3/1/04,3/1/04,8/1/04,03024257,03024257,,
04-030-24258,San Joaquin,Kern,"Belridge, South",Any Area,Tulare,3/1/04,3/1/04,6/1/04,03024258,,,
04-030-24260,San Joaquin,Kern,"Belridge, South",Any Area,Tulare,4/1/04,4/1/04,10/1/08,03024260,,,
04-030-24261,San Joaquin,Kern,"Belridge, South",Any Area,Tulare,4/1/04,4/1/04,6/1/05,03024261,03024261,,
04-030-24262,San Joaquin,Kern,"Belridge, South",Any Area,Tulare,5/1/04,5/1/04,5/1/04,03024262,,,
04-030-24264,San Joaquin,Kern,Midway-Sunset,Any Area,Tulare,5/1/04,,5/1/04,03024264,,,
04-030-24265,San Joaquin,Kern,Midway-Sunset,Any Area,Tulare,9/1/04,,9/1/04,03024265,,,
04-030-24266,San Joaquin,Kern,McKittrick,Northeast Area,Upper,5/1/04,,5/1/04,03024266,03024266,,
04-030-24267,San Joaquin,Kern,Cymric,Welport Area,Tulare,6/1/04,,6/1/04,03024267,,,
04-030-24268,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024268,,,
04-030-24269,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024269,,,
04-030-24270,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024270,,,
04-030-24271,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024271,,,
04-030-24272,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024272,,,
04-030-24273,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,4/1/04,03024273,03024273,,
04-030-24274,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,7/1/04,03024274,,,
04-030-24275,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,12/1/04,12/1/04,3/1/04,03024275,,,
04-030-24276,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,5/1/04,03024276,,,
04-030-24277,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,4/1/04,03024277,,,
04-030-24278,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,4/1/04,03024278,,,
04-030-24279,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,5/1/04,03024279,,,
04-030-24280,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,5/1/04,03024280,,,
04-030-24281,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,6/1/04,6/1/04,6/1/04,03024281,,,
04-030-24282,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,5/1/04,03024282,,,
04-030-24283,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,6/1/04,6/1/04,6/1/04,03024283,,,
04-030-24284,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,4/1/04,03024284,,,
04-030-24285,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,6/1/04,03024285,,,
04-030-24286,San Joaquin,Kern,Kern River,Any Area,Kern River,2/1/04,2/1/04,10/1/04,03024286,,,
04-030-24287,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,6/1/04,03024287,,,
04-030-24288,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,3/1/04,03024288,,,
04-030-24289,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,6/1/04,03024289,,,
04-030-24290,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,8/1/07,03024290,,,
04-030-24291,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,5/1/04,03024291,,,
04-030-24292,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,7/1/04,03024292,03024292,,
04-030-24293,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,5/1/04,03024293,,,
04-030-24294,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,6/1/04,03024294,,,
04-030-24295,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,5/1/04,03024295,03024295,,
04-030-24296,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,11/1/05,03024296,,,
04-030-24297,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024297,,,
04-030-24298,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024298,,,
04-030-24299,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024299,03024299,03024299,
04-030-24300,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024300,,,
04-030-24301,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024301,,,
04-030-24302,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,3/1/04,03024302,,,
04-030-24303,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,3/1/04,03024303,,,
04-030-24304,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,4/1/04,03024304,,,
04-030-24305,San Joaquin,Kern,Kern River,Any Area,Kern River,5/1/04,5/1/04,4/1/04,03024305,,,
04-030-24306,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,4/1/04,03024306,,,
04-030-24307,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,12/1/05,03024307,03024307,,
04-030-24308,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,1/1/05,03024308,,,
04-030-24309,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024309,,,
04-030-24310,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024310,,,
04-030-24311,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024311,,,
04-030-24312,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024312,,,
04-030-24313,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024313,,,
04-030-24314,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024314,,,
04-030-24315,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024315,03024315,03024315,
04-030-24316,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024316,,,
04-030-24317,San Joaquin,Kern,Elk Hills,Any Area,Stevens (31S),4/1/04,4/1/04,,03024317,,,
04-030-24318,San Joaquin,Kern,Elk Hills,Any Area,Stevens (31S),4/1/04,4/1/04,,03024318,,,
04-030-24319,San Joaquin,Kern,Cymric,Welport Area,Tulare,6/1/04,6/1/04,5/1/04,03024319,,,
04-030-24320,San Joaquin,Kern,Cymric,Welport Area,Tulare,6/1/04,6/1/04,5/1/04,03024320,,,
04-030-24321,San Joaquin,Kern,Cymric,Welport Area,Tulare,6/1/04,6/1/04,5/1/04,03024321,,,
04-030-24322,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024322,,,
04-030-24323,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024323,,,
04-030-24324,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,,4/1/04,03024324,,,
04-030-24325,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,3/1/04,,3/1/04,03024325,,,
04-030-24326,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,,4/1/04,03024326,,,
04-030-24327,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,4/1/04,03024327,,,
04-030-24328,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,9/1/04,03024328,,,
04-030-24329,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,5/1/04,03024329,,,
04-030-24330,San Joaquin,Kern,Kern River,Any Area,Kern River,5/1/04,5/1/04,7/1/04,03024330,,,
04-030-24332,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,6/1/04,03024332,,,
04-030-24333,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,6/1/04,03024333,03024333,,
04-030-24334,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,6/1/04,03024334,,,
04-030-24335,San Joaquin,Kern,Kern River,Any Area,Kern River,5/1/04,5/1/04,6/1/04,03024335,03024335,,
04-030-24336,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,5/1/04,03024336,,,
04-030-24337,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,5/1/04,03024337,,,
04-030-24338,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,4/1/04,03024338,,,
04-030-24339,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,5/1/04,03024339,,,
04-030-24341,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,5/1/04,03024341,,,
04-030-24342,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,5/1/04,03024342,03024342,,
04-030-24343,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,4/1/04,03024343,,,
04-030-24344,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,5/1/04,03024344,,,
04-030-24345,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,5/1/04,03024345,,,
04-030-24346,San Joaquin,Kern,Kern River,Any Area,Kern River,6/1/04,6/1/04,3/1/05,03024346,03024346,,
04-030-24347,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,5/1/08,03024347,,,
04-030-24348,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,4/1/04,03024348,,,
04-030-24349,San Joaquin,Kern,Kern River,Any Area,Kern River,6/1/04,6/1/04,6/1/04,03024349,,,
04-030-24350,San Joaquin,Kern,Kern River,Any Area,Kern River,4/1/04,4/1/04,4/1/04,03024350,03024350,,
04-030-24351,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,4/1/04,03024351,,,
04-030-24352,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,4/1/04,03024352,,,
04-030-24353,San Joaquin,Kern,Kern River,Any Area,Kern River,3/1/04,3/1/04,3/1/04,03024353,,,
04-030-24354,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024354,,,
04-030-24355,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024355,03024355,03024355,
04-030-24356,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024356,,,
04-030-24357,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024357,,,
04-030-24358,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024358,,,
04-030-24359,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024359,,,
04-030-24360,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024360,,,
04-030-24361,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024361,,,
04-030-24362,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024362,,,
04-030-24363,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024363,,,
04-030-24364,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,7/1/04,7/1/04,12/1/11,03024364,,,
04-030-24365,San Joaquin,Kern,Ant Hill,Any Area,Olcese,5/1/04,5/1/04,,03024365,,,
04-030-24367,San Joaquin,Kern,Antelope Hills,Williams Area,Point of Rocks,3/1/04,3/1/04,,03024367,,,
04-030-24368,San Joaquin,Kern,Antelope Hills,Williams Area,Point of Rocks,4/1/04,4/1/04,,03024368,,,
04-030-24369,San Joaquin,Kern,Antelope Hills,Williams Area,Point of Rocks,4/1/04,4/1/04,,03024369,,,
04-030-24370,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024370,03024370,03024370,
04-030-24371,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024371,,,
04-030-24372,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024372,,,
04-030-24373,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024373,,,
04-030-24374,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024374,,,
04-030-24375,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024375,,,
04-030-24376,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024376,,,
04-030-24377,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024377,,,
04-030-24378,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024378,03024378,03024378,
04-030-24379,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024379,,,
04-030-24380,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,3/1/05,03024380,,,
04-030-24381,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,5/1/04,9/1/05,03024381,,,
04-030-24382,San Joaquin,Kern,Cymric,Welport Area,Etchegoin,4/1/04,4/1/04,4/1/04,03024382,03024382,,
04-030-24383,San Joaquin,Kern,Elk Hills,Any Area,Upper (Undifferentiated),4/1/04,4/1/04,,03024383,,,
04-030-24384,San Joaquin,Kern,Elk Hills,Any Area,Upper (Undifferentiated),4/1/04,4/1/04,,03024384,,,
04-030-24385,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,4/1/04,03024385,,,
04-030-24386,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,10/1/07,03024386,,,
04-030-24387,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,3/1/04,3/1/04,3/1/04,03024387,,,
04-030-24389,San Joaquin,Kern,Devils Den,Alferitz Area,No Pool Breakdown,11/1/04,11/1/04,,03024389,03024389,03024389,
04-030-24390,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024390,,,
04-030-24391,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,6/1/04,6/1/04,,03024391,,,
04-030-24392,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024392,,,
04-030-24393,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024393,03024393,03024393,
04-030-24394,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024394,,,
04-030-24395,San Joaquin,Kern,"Belridge, South",Any Area,Tulare,4/1/04,4/1/04,4/1/04,03024395,,,
04-030-24396,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024396,,,
04-030-24397,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024397,,,
04-030-24398,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024398,,,
04-030-24399,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024399,,,
04-030-24400,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024400,03024400,03024400,
04-030-24401,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024401,,,
04-030-24402,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024402,,,
04-030-24403,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024403,,,
04-030-24404,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024404,,,
04-030-24405,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,3/1/04,3/1/04,,03024405,,,
04-030-24406,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024406,,,
04-030-24407,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,4/1/04,4/1/04,,03024407,,,
04-030-24409,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,7/1/11,7/1/11,10/1/11,03024409,03024409,,
04-030-24410,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,6/1/04,,6/1/04,03024410,,,
04-030-24411,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,6/1/04,,6/1/04,03024411,,,
04-030-24412,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,1/1/12,1/1/12,2/1/12,03024412,,,
04-030-24413,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,6/1/04,,6/1/04,03024413,,,
04-030-24414,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,7/1/04,7/1/04,,03024414,,,
04-030-24415,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,4/1/04,4/1/04,,03024415,,,
04-030-24416,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,4/1/04,4/1/04,,03024416,03024416,03024416,
04-030-24417,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,4/1/04,4/1/04,,03024417,,,
04-030-24418,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,4/1/04,4/1/04,,03024418,,,
04-030-24419,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,5/1/04,5/1/04,,03024419,,,
04-030-24420,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,5/1/04,5/1/04,,03024420,,,
04-030-24421,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,6/1/04,6/1/04,,03024421,,,
04-030-24422,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,6/1/04,6/1/04,,03024422,,,
04-030-24423,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,6/1/04,6/1/04,,03024423,,,
04-030-24424,San Joaquin,Kern,Lost Hills,Any Area,Tulare-Etchegoin,6/1/04,6/1/04,,03024424,,,
04-030-24426,San Joaquin,Kern,Tejon,Western Area,No Pool Breakdown,4/1/04,4/1/04,,03024426,,,
04-030-24428,San Joaquin,Kern,Elk Hills,Any Area,Stevens (29R),5/1/04,5/1/04,,03024428,,,
04-030-24430,San Joaquin,Kern,Elk Hills,Any Area,Upper (Undifferentiated),4/1/04,4/1/04,,03024430,,,
04-030-24431,San Joaquin,Kern,Elk Hills,Any Area,Upper (Undifferentiated),6/1/04,6/1/04,,03024431,03024431,,
04-030-24432,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,6/1/04,6/1/04,9/1/09,03024432,,,
04-030-24433,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,5/1/04,,5/1/04,03024433,,,
04-030-24434,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,,4/1/04,03024434,,,
04-030-24436,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,3/1/04,03024436,,,
04-030-24437,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,9/1/09,03024437,,,
04-030-24438,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,3/1/04,03024438,03024438,,
04-030-24439,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,6/1/04,6/1/04,7/1/04,03024439,,,
04-030-24440,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,4/1/04,4/1/04,,03024440,,,
04-030-24441,San Joaquin,Kern,Midway-Sunset,Any Area,No Pool Breakdown,7/1/04,7/1/04,10/1/04,03024441,,,
04-030-24442,San Joaquin,Kern,Buena Vista,Buena Vista Hills Area,Gas Zone,4/1/05,4/1/05,,03024442,,,
04-030-24443,San Joaquin,Kern,"Belridge, South",Any Area,Diatomite,5/1/04,5/1/04,,03024443,03024443,03024443,
