API,Basin,Cnty_Name,FieldName,AreaName,PoolName,First0fFirstProdthenInjDate,FirstProdDate,FirstInjDate,DOGGR_API,searched_DOGGR_API,frac_confirmed_DOGGR_API,frac_pack_DOGGR_API
04-011-20711,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/05,5/1/05,,01120711,01120711,,
04-011-20712,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/05,5/1/05,,01120712,01120712,,
04-011-20714,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,4/1/06,4/1/06,,01120714,01120714,,
04-011-20715,Sacramento,Colusa,Kirk Gas,Any Area,Forbes,11/1/05,11/1/05,,01120715,01120715,,
04-011-20716,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,9/1/05,9/1/05,,01120716,01120716,,
04-011-20717,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,9/1/05,9/1/05,,01120717,01120717,,
04-011-20718,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,11/1/05,11/1/05,,01120718,01120718,,
04-011-20719,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,11/1/05,11/1/05,,01120719,01120719,,
04-011-20721,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,10/1/05,10/1/05,,01120721,01120721,,
04-011-20722,Sacramento,Colusa,Buckeye Gas,Any Area,Forbes,1/1/06,1/1/06,,01120722,01120722,,
04-011-20723,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,1/1/06,1/1/06,,01120723,01120723,,
04-011-20724,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,1/1/06,1/1/06,,01120724,01120724,,
04-011-20727,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,7/1/06,7/1/06,,01120727,01120727,,
04-011-20728,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,3/1/06,3/1/06,,01120728,01120728,,
04-011-20729,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,1/1/06,1/1/06,,01120729,01120729,,
04-011-20732,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/06,5/1/06,,01120732,01120732,,
04-011-20733,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,6/1/06,6/1/06,,01120733,01120733,,
04-011-20734,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,6/1/06,6/1/06,,01120734,01120734,,
04-011-20735,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,6/1/06,6/1/06,,01120735,01120735,,
04-011-20736,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,11/1/06,11/1/06,,01120736,01120736,,
04-011-20737,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,6/1/06,6/1/06,,01120737,01120737,,
04-011-20738,Sacramento,Colusa,Moon Bend Gas,Any Area,No Pool Breakdown,6/1/06,6/1/06,,01120738,01120738,,
04-011-20739,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,6/1/06,6/1/06,,01120739,01120739,,
04-011-20740,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,7/1/06,7/1/06,,01120740,01120740,,
04-011-20741,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,8/1/06,8/1/06,,01120741,01120741,01120741,
04-011-20742,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,9/1/06,9/1/06,,01120742,01120742,,
04-011-20743,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,7/1/06,7/1/06,,01120743,01120743,,
04-011-20744,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,9/1/06,9/1/06,,01120744,01120744,,
04-011-20746,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,10/1/06,10/1/06,,01120746,01120746,,
04-011-20752,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/07,4/1/07,,01120752,01120752,,
04-011-20753,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/07,4/1/07,,01120753,01120753,,
04-011-20754,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/07,2/1/07,,01120754,01120754,,
04-011-20755,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/07,4/1/07,,01120755,01120755,,
04-011-20756,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,12/1/06,12/1/06,,01120756,01120756,,
04-011-20757,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,12/1/06,12/1/06,,01120757,01120757,,
04-011-20758,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/07,2/1/07,,01120758,01120758,,
04-011-20759,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/07,2/1/07,,01120759,01120759,,
04-011-20760,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,3/1/07,3/1/07,,01120760,01120760,,
04-011-20761,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/07,4/1/07,,01120761,01120761,,
04-011-20762,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,3/1/07,3/1/07,,01120762,01120762,,
04-011-20763,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,3/1/07,3/1/07,,01120763,01120763,,
04-011-20764,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,3/1/07,3/1/07,,01120764,01120764,,
04-011-20765,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,5/1/07,5/1/07,,01120765,01120765,01120765,
04-011-20766,Sacramento,Colusa,Moon Bend Gas,Any Area,No Pool Breakdown,8/1/07,8/1/07,,01120766,01120766,,
04-011-20767,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,7/1/07,7/1/07,,01120767,01120767,,
04-011-20768,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/07,4/1/07,,01120768,01120768,,
04-011-20770,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/07,5/1/07,,01120770,01120770,01120770,
04-011-20772,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,10/1/07,10/1/07,,01120772,01120772,,
04-011-20774,Sacramento,Colusa,Moon Bend Gas,Any Area,No Pool Breakdown,11/1/07,11/1/07,,01120774,01120774,,
04-011-20775,Sacramento,Colusa,Moon Bend Gas,Any Area,No Pool Breakdown,7/1/07,7/1/07,,01120775,01120775,,
04-011-20776,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,6/1/07,6/1/07,,01120776,01120776,01120776,
04-011-20777,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,5/1/07,5/1/07,,01120777,01120777,,
04-011-20778,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,8/1/07,8/1/07,,01120778,01120778,,
04-011-20780,Sacramento,Colusa,Kirk Gas,Any Area,Forbes,6/1/07,6/1/07,,01120780,01120780,,
04-011-20782,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,8/1/07,8/1/07,,01120782,01120782,,
04-011-20784,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,8/1/07,8/1/07,,01120784,01120784,01120784,
04-011-20785,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,8/1/07,8/1/07,,01120785,01120785,,
04-011-20786,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,8/1/07,8/1/07,,01120786,01120786,,
04-011-20787,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,6/1/07,6/1/07,,01120787,01120787,,
04-011-20788,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,8/1/07,8/1/07,,01120788,01120788,,
04-011-20789,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,3/1/08,3/1/08,,01120789,01120789,,
04-011-20790,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,9/1/07,9/1/07,,01120790,01120790,,
04-011-20791,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,9/1/07,9/1/07,,01120791,01120791,,
04-011-20792,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,10/1/07,10/1/07,,01120792,01120792,,
04-011-20795,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,10/1/07,10/1/07,,01120795,01120795,,
04-011-20797,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,9/1/07,9/1/07,,01120797,01120797,,
04-011-20798,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,3/1/08,3/1/08,,01120798,01120798,,
04-011-20801,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,10/1/07,10/1/07,,01120801,01120801,,
04-011-20802,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,3/1/08,3/1/08,,01120802,01120802,,
04-011-20803,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,2/1/08,2/1/08,,01120803,01120803,,
04-011-20804,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,8/1/08,8/1/08,,01120804,01120804,,
04-011-20805,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,12/1/07,12/1/07,,01120805,01120805,01120805,
04-011-20806,Sacramento,Colusa,Moon Bend Gas,Any Area,No Pool Breakdown,1/1/08,1/1/08,,01120806,01120806,,
04-011-20807,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/08,2/1/08,,01120807,01120807,,
04-011-20808,Sacramento,Colusa,Butte Sink Gas,Any Area,No Pool Breakdown,11/1/07,11/1/07,,01120808,01120808,,
04-011-20811,Sacramento,Colusa,Moon Bend Gas,Any Area,No Pool Breakdown,5/1/08,5/1/08,,01120811,01120811,,
04-011-20814,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/08,4/1/08,,01120814,01120814,,
04-011-20816,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/08,5/1/08,,01120816,01120816,,
