API,DOGGR_API,WR_only?,GIS_Code1,GIS_Code2,Basin,County,Field,Area,Pool,Latitude,Longitude,Lat_Long_Source,Date,Date_Source,Depth_ft,Depth_type,AW_Frac_DOGGR_API,AW_County,AW_Field,AW_Latitude,AW_fLongitude,AW_SPUDDate,AW_WellDepth_ft,CR_API,CR_DOGGR_API,CR_County,CR_Field,CR_Horizon,CR_Lat,CR_Lng,CR_Job_Start,CR_Job_End,CR_TVD_Start,Notices_API,Notices_DOGGR_API,Notices_Min_Depth,SC_API,SC_DOGGR_API,SC_Latitude,SC_Longitude,SC_Start_Date,FF_API,FF_DOGGR_API,FF_County,FF_Field,FF_Latitude,FF_Longitude,FF_JobStartDate,FF_JobEndDate,FF_True_Vertical_Depth,CV_API,CV_DOGGR_API,CV_Lat,CV_Lng,CV_Date_Treatment_Begin,CV_TVD_ft,WR_Frac_Confirmed_API,WR_Frac_Confirmed_DOGGR_API,WR_Frac_Pack_API,WR_Frac_Pack_DOGGR_API,WR_Latitude,WR_Longitude,Min_FP_FI_Date,FP_API,FP_DOGGR_API,FP_Date,FP_Pool_Name,FI_API,FI_DOGGR_API,FI_Date,FI_Pool_Name
04-011-20741,01120741,1,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.15791143,-121.9517146,AW,8/1/06,FP,,no depth,,Colusa,Sycamore Gas,39.15791143,-121.9517146,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20741,01120741,,,,,8/1/06,04-011-20741,01120741,8/1/06,No Pool Breakdown,,,,
04-011-20765,01120765,1,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.07356468,-121.9051261,AW,5/1/07,FP,,no depth,,Colusa,Grimes Gas,39.07356468,-121.9051261,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20765,01120765,,,,,5/1/07,04-011-20765,01120765,5/1/07,Forbes,,,,
04-011-20767,01120767,0,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.06615883,-121.9077213,AW,6/7/11,FF,6700,TVD of well,01120767,Colusa,Grimes Gas,39.06615883,-121.9077213,,0,,,,,,,,,,,,,,,,,,,04-011-20767,01120767,Colusa,Grimes Gas,39.066159,-121.907721,6/7/11,6/7/11,6700,,,,,,,,,,,,,7/1/07,04-011-20767,01120767,7/1/07,Forbes,,,,
04-011-20770,01120770,1,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.16310286,-121.9404672,AW,5/1/07,FP,,no depth,,Colusa,Sycamore Gas,39.16310286,-121.9404672,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20770,01120770,,,,,5/1/07,04-011-20770,01120770,5/1/07,No Pool Breakdown,,,,
04-011-20776,01120776,1,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.1609958,-121.9466843,AW,6/1/07,FP,,no depth,,Colusa,Sycamore Gas,39.1609958,-121.9466843,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20776,01120776,,,,,6/1/07,04-011-20776,01120776,6/1/07,No Pool Breakdown,,,,
04-011-20784,01120784,1,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.12728826,-121.9442044,AW,8/1/07,FP,,no depth,,Colusa,Sycamore Gas,39.12728826,-121.9442044,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20784,01120784,,,,,8/1/07,04-011-20784,01120784,8/1/07,No Pool Breakdown,,,,
04-011-20798,01120798,0,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.13744955,-121.9549628,AW,3/15/11,FF,7306,TVD of well,01120798,Colusa,Sycamore Gas,39.13744955,-121.9549628,,0,,,,,,,,,,,,,,,,,,,04-011-20798,01120798,Colusa,Sycamore Gas,39.13745,-121.954963,3/15/11,3/15/11,7306,,,,,,,,,,,,,3/1/08,04-011-20798,01120798,3/1/08,No Pool Breakdown,,,,
04-011-20805,01120805,1,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.11948459,-121.9159805,AW,12/1/07,FP,,no depth,,Colusa,Grimes Gas,39.11948459,-121.9159805,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20805,01120805,,,,,12/1/07,04-011-20805,01120805,12/1/07,Forbes,,,,
04-011-20819,01120819,1,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.10343868,-121.9133911,AW,12/1/08,FP,,no depth,,Colusa,Grimes Gas,39.10343868,-121.9133911,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20819,01120819,,,,,12/1/08,04-011-20819,01120819,12/1/08,Forbes,,,,
04-011-20825,01120825,1,A,DG,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,39.12096719,-121.9366228,AW,8/1/08,FP,,no depth,,Colusa,Grimes Gas,39.12096719,-121.9366228,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20825,01120825,,,,,8/1/08,04-011-20825,01120825,8/1/08,Forbes,,,,
04-011-20830,01120830,0,A,DG,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,39.12421366,-121.9275851,AW,6/7/11,FF,6850,TVD of well,01120830,Colusa,Sycamore Gas,39.12421366,-121.9275851,,0,,,,,,,,,,,,,,,,,,,04-011-20830,01120830,Colusa,Sycamore Gas,39.124214,-121.927585,6/7/11,6/7/11,6850,,,,,,,04-011-20830,01120830,,,,,7/1/08,04-011-20830,01120830,7/1/08,No Pool Breakdown,,,,
04-011-20842,01120842,1,A,DG,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,39.09157142,-121.9734069,AW,10/1/08,FP,,no depth,,Colusa,"Grimes, West, Gas",39.09157142,-121.9734069,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20842,01120842,,,,,10/1/08,04-011-20842,01120842,10/1/08,Forbes,,,,
04-011-20846,01120846,1,A,DG,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,39.08715089,-121.9711031,AW,10/1/08,FP,,no depth,,Colusa,"Grimes, West, Gas",39.08715089,-121.9711031,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-011-20846,01120846,,,,,10/1/08,04-011-20846,01120846,10/1/08,Forbes,,,,
04-013-20330,01320330,1,A,DG,Sacramento,Contra Costa,Dutch Slough Gas,Any Area,No Pool Breakdown,38.00109605,-121.6594699,AW,11/1/04,FP,,no depth,,Contra Costa,Dutch Slough Gas,38.00109605,-121.6594699,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-013-20330,01320330,,,,,11/1/04,04-013-20330,01320330,11/1/04,No Pool Breakdown,,,,
04-019-00076,01900076,1,A,OG,San Joaquin,Fresno,Helm,Main Area,Eocene & Cretaceous,36.44211881,-119.9802289,AW,5/1/08,FP,8250,MD of well,,Fresno,Helm,36.44211881,-119.9802289,10/10/46,8250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-00076,01900076,,,,,5/1/08,04-019-00076,01900076,5/1/08,Eocene & Cretaceous,,,,
04-019-05491,01905491,0,A,OG,San Joaquin,Fresno,Raisin City,Any Area,Eocene,36.62755075,-120.0832,AW,5/1/06,FP,4835,MD of well,,Fresno,Raisin City,36.62755075,-120.0832,4/9/52,4835,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-05491,01905491,36.62748,-120.08323,4/28/12,,,,,,,,5/1/06,04-019-05491,01905491,5/1/06,Eocene,,,,
04-019-05522,01905522,0,A,OG,San Joaquin,Fresno,Raisin City,,,36.61772456,-120.061774,AW,4/28/12,CV,5317,TVD of well,,Fresno,Raisin City,36.61772456,-120.061774,8/10/53,5317,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-05522,01905522,36.61769,-120.06178,4/28/12,5317,,,,,,,,,,,,,,,
04-019-05596,01905596,0,A,OG,San Joaquin,Fresno,Raisin City,,,36.62252864,-120.0716715,AW,4/27/12,CV,5145,MD of well,,Fresno,Raisin City,36.62252864,-120.0716715,1/21/56,5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-05596,01905596,36.62853,-120.0855,4/27/12,,,,,,,,,,,,,,,,
04-019-05632,01905632,0,A,OG,San Joaquin,Fresno,Riverdale,Any Area,Miocene,36.45074817,-119.9028309,AW,2/1/09,FP,7930,TVD of well,,Fresno,Riverdale,36.45074817,-119.9028309,7/20/43,7935,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-05632,01905632,36.45079,-119.90285,2/25/13,7930,,,,,,,2/1/09,04-019-05632,01905632,2/1/09,Miocene,,,,
04-019-05647,01905647,1,A,OG,San Joaquin,Fresno,Riverdale,Any Area,Miocene,36.45791868,-119.9029997,AW,8/1/06,FP,7900,MD of well,,Fresno,Riverdale,36.45791868,-119.9029997,9/20/44,7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-05647,01905647,,,,,8/1/06,04-019-05647,01905647,8/1/06,Miocene,,,,
04-019-20751,01920751,1,A,WD,San Joaquin,Fresno,Raisin City,Any Area,No Pool Breakdown,36.62879272,-120.0824041,AW,8/1/09,FI,6404,MD of well,,Fresno,Raisin City,36.62879272,-120.0824041,1/23/73,6404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-20751,01920751,,,,,8/1/09,,,,,04-019-20751,01920751,8/1/09,No Pool Breakdown
04-019-21246,01921246,1,A,WD,San Joaquin,Fresno,Riverdale,Any Area,Miocene,36.43037434,-119.886133,AW,10/1/06,FI,6947,MD of well,,Fresno,Riverdale,36.43037434,-119.886133,2/2/79,6947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-21246,01921246,,,,,10/1/06,,,,,04-019-21246,01921246,10/1/06,Miocene
04-019-24414,01924414,1,A,OG,San Joaquin,Fresno,Raisin City,Any Area,Zilch,36.62813857,-120.0854771,AW,4/1/09,FP,7145,MD of well,,Fresno,Raisin City,36.62813857,-120.0854771,8/18/05,7145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-24414,01924414,,,,,4/1/09,04-019-24414,01924414,4/1/09,Zilch,,,,
04-019-24448,01924448,0,A,OB,San Joaquin,Fresno,Coalinga,,,36.29049705,-120.3176682,AW,12/7/05,AW,1895,planned TVD of interval top,,Fresno,Coalinga,36.29049705,-120.3176682,12/7/05,1920,,,,,,,,,,,04-019-24448,01924448,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-019-24696,01924696,1,A,OG,San Joaquin,Fresno,Kreyenhagen (ABD),Any Area,Temblor,35.97570506,-120.2518219,AW,12/1/12,FP,3450,MD of well,,Fresno,Kreyenhagen (ABD),35.97570506,-120.2518219,2/24/07,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-24696,01924696,,,,,12/1/12,04-019-24696,01924696,12/1/12,Temblor,,,,
04-019-24978,01924978,0,A,OG,San Joaquin,Fresno,Riverdale,Any Area,Eocene,36.46018411,-119.9043005,AW,11/1/08,FP,8050,TVD of well,,Fresno,Riverdale,36.46018411,-119.9043005,9/24/08,8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-24978,01924978,36.46025,-119.90389,9/9/13,8050,,,,,,,11/1/08,04-019-24978,01924978,11/1/08,Eocene,,,,
04-019-24979,01924979,0,A,OG,San Joaquin,Fresno,Riverdale,Any Area,Eocene,36.45937968,-119.9013057,AW,9/1/08,FP,8050,TVD of well,,Fresno,Riverdale,36.45937968,-119.9013057,8/27/08,8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-24979,01924979,36.45945,-119.9008,1/29/13,8050,,,,,,,9/1/08,04-019-24979,01924979,9/1/08,Eocene,,,,
04-019-25109,01925109,1,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.236072,-120.361018,AW,3/1/10,FP,2926,MD of well,,Fresno,Coalinga,36.236072,-120.361018,1/12/10,2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25109,01925109,,,,,3/1/10,04-019-25109,01925109,3/1/10,Temblor,,,,
04-019-25236,01925236,0,A,OG,San Joaquin,Fresno,Guijarral Hills,,,36.1425952,-120.231579,AW,12/13/13,CV,11764.25359,TVD of well,,Fresno,Guijarral Hills,36.1425952,-120.231579,2/20/11,10550,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25236,01925236,34.30999861,-119.2033608,12/13/13,11764.25359,,,,,,,,,,,,,,,
04-019-25308,01925308,0,A,SF,San Joaquin,Fresno,Coalinga,,,36.235186,-120.372541,AW,,,2295,TVD of well,,Fresno,Coalinga,36.235186,-120.372541,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25308,01925308,36.23523,-120.371628,,2295,,,,,,,,,,,,,,,
04-019-25311,01925311,0,A,OB,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.239592,-120.316526,AW,12/1/12,FP,2654,MD of well,01925311,Fresno,Coalinga,36.239592,-120.316526,9/7/11,2654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25311,01925311,04-019-25311,01925311,,,12/1/12,04-019-25311,01925311,12/1/12,Temblor,,,,
04-019-25315,01925315,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.24307,-120.370829,AW,4/1/12,FP,1210.87,TVD of well,,Fresno,Coalinga,36.24307,-120.370829,3/14/12,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25315,01925315,36.243115,-120.369856,,1210.87,,,,,,,4/1/12,04-019-25315,01925315,4/1/12,Temblor,,,,
04-019-25316,01925316,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.24319,-120.36979,AW,4/1/12,FP,1220.3,TVD of well,,Fresno,Coalinga,36.24319,-120.36979,3/11/12,1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25316,01925316,36.243235,-120.368817,,1220.3,,,,,,,4/1/12,04-019-25316,01925316,4/1/12,Temblor,,,,
04-019-25317,01925317,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.24244,-120.36992,AW,3/1/12,FP,1258.99,TVD of well,,Fresno,Coalinga,36.24244,-120.36992,3/4/12,1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25317,01925317,36.242485,-120.368947,,1258.99,,,,,,,3/1/12,04-019-25317,01925317,3/1/12,Temblor,04-019-25317,01925317,9/1/12,Temblor
04-019-25318,01925318,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.242105,-120.369814,AW,3/1/12,FP,1306.39,TVD of well,,Fresno,Coalinga,36.242105,-120.369814,2/26/12,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25318,01925318,36.24215,-120.368841,,1306.39,,,,,,,3/1/12,04-019-25318,01925318,3/1/12,Temblor,04-019-25318,01925318,4/1/12,Temblor
04-019-25319,01925319,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.242259,-120.36988,AW,3/1/12,FP,1318.32,TVD of well,,Fresno,Coalinga,36.242259,-120.36988,2/29/12,1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25319,01925319,36.242304,-120.368907,,1318.32,,,,,,,3/1/12,04-019-25319,01925319,3/1/12,Temblor,04-019-25319,01925319,4/1/12,Temblor
04-019-25320,01925320,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.242018,-120.370971,AW,4/1/12,FP,1229.87,TVD of well,,Fresno,Coalinga,36.242018,-120.370971,2/23/12,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25320,01925320,36.242062,-120.369997,,1229.87,,,,,,,4/1/12,04-019-25320,01925320,4/1/12,Temblor,04-019-25320,01925320,5/1/12,Temblor
04-019-25323,01925323,0,A,OG,San Joaquin,Fresno,Riverdale,Any Area,Miocene,36.451667,-119.894544,AW,9/1/13,FP,8050,TVD of well,,Fresno,Riverdale,36.451667,-119.894544,11/24/11,8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25323,01925323,36.4516,-119.89547,9/9/13,8050,,,,,,,9/1/13,04-019-25323,01925323,9/1/13,Miocene,,,,
04-019-25327,01925327,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.241936,-120.370821,AW,4/1/12,FP,1618.95,TVD of well,,Fresno,Coalinga,36.241936,-120.370821,3/7/12,1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25327,01925327,36.241981,-120.369848,,1618.95,,,,,,,4/1/12,04-019-25327,01925327,4/1/12,Temblor,,,,
04-019-25328,01925328,0,A,OG,San Joaquin,Fresno,Raisin City,Any Area,Eocene,36.623095,-120.069763,AW,5/1/12,FP,6400,TVD of well,,Fresno,Raisin City,36.623095,-120.069763,11/5/11,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25328,01925328,36.62297,-120.07068,4/26/12,6400,04-019-25328,01925328,,,,,5/1/12,04-019-25328,01925328,5/1/12,Eocene,,,,
04-019-25329,01925329,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.243984,-120.371497,AW,1/1/13,FP,1458.03,TVD of well,,Fresno,Coalinga,36.243984,-120.371497,12/19/12,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25329,01925329,36.244029,-120.370523,,1458.03,,,,,,,1/1/13,04-019-25329,01925329,1/1/13,Temblor,04-019-25329,01925329,6/1/13,Temblor
04-019-25330,01925330,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.242982,-120.370793,AW,4/1/12,FP,1619.59,TVD of well,,Fresno,Coalinga,36.242982,-120.370793,3/17/12,1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25330,01925330,36.242982,-120.370793,,1619.59,,,,,,,4/1/12,04-019-25330,01925330,4/1/12,Temblor,,,,
04-019-25331,01925331,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.240697,-120.370408,AW,6/1/12,FP,1680.08,TVD of well,,Fresno,Coalinga,36.240697,-120.370408,4/17/12,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25331,01925331,36.240741,-120.369435,,1680.08,,,,,,,6/1/12,04-019-25331,01925331,6/1/12,Temblor,,,,
04-019-25332,01925332,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.243247,-120.369436,AW,4/1/12,FP,1704.66,TVD of well,,Fresno,Coalinga,36.243247,-120.369436,3/21/12,1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25332,01925332,36.243292,-120.368463,,1704.66,,,,,,,4/1/12,04-019-25332,01925332,4/1/12,Temblor,04-019-25332,01925332,8/1/12,Temblor
04-019-25333,01925333,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.244795,-120.368985,AW,4/1/12,FP,1583.3,TVD of well,,Fresno,Coalinga,36.244795,-120.368985,4/1/12,1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25333,01925333,36.244839,-120.368011,,1583.3,,,,,,,4/1/12,04-019-25333,01925333,4/1/12,Temblor,,,,
04-019-25334,01925334,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.247924,-120.368063,AW,2/1/13,FP,1445.92,TVD of well,,Fresno,Coalinga,36.247924,-120.368063,1/15/13,1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25334,01925334,36.247969,-120.36709,,1445.92,,,,,,,2/1/13,04-019-25334,01925334,2/1/13,Temblor,,,,
04-019-25335,01925335,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.246785,-120.367485,AW,2/1/13,FP,1504.96,TVD of well,,Fresno,Coalinga,36.246785,-120.367485,1/11/13,1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25335,01925335,36.24683,-120.366511,,1504.96,,,,,,,2/1/13,04-019-25335,01925335,2/1/13,Temblor,,,,
04-019-25336,01925336,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.245133,-120.367973,AW,5/1/12,FP,1623.74,TVD of well,,Fresno,Coalinga,36.245133,-120.367973,3/25/12,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25336,01925336,36.245178,-120.367,,1623.74,,,,,,,5/1/12,04-019-25336,01925336,5/1/12,Temblor,,,,
04-019-25337,01925337,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.244178,-120.368031,AW,2/1/13,FP,1695.81,TVD of well,,Fresno,Coalinga,36.244178,-120.368031,1/3/13,1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25337,01925337,36.244223,-120.367057,,1695.81,,,,,,,2/1/13,04-019-25337,01925337,2/1/13,Temblor,,,,
04-019-25338,01925338,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.24206,-120.372886,AW,6/1/12,FP,995.91,TVD of well,,Fresno,Coalinga,36.24206,-120.372886,4/25/12,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25338,01925338,36.242105,-120.371912,,995.91,,,,,,,6/1/12,04-019-25338,01925338,6/1/12,Temblor,04-019-25338,01925338,8/1/12,Temblor
04-019-25339,01925339,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.246387,-120.367084,AW,2/1/13,FP,1640.54,TVD of well,,Fresno,Coalinga,36.246387,-120.367084,1/7/13,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25339,01925339,36.246431,-120.366111,,1640.54,,,,,,,2/1/13,04-019-25339,01925339,2/1/13,Temblor,,,,
04-019-25340,01925340,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.244663,-120.371046,AW,5/1/12,FP,1109.95,TVD of well,,Fresno,Coalinga,36.244663,-120.371046,4/14/12,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25340,01925340,36.24471,-120.370073,,1109.95,,,,,,,5/1/12,04-019-25340,01925340,5/1/12,Temblor,,,,
04-019-25341,01925341,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.24383,-120.369518,AW,5/1/12,FP,1139.75,TVD of well,,Fresno,Coalinga,36.24383,-120.369518,4/21/12,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25341,01925341,36.243874,-120.368545,,1139.75,,,,,,,5/1/12,04-019-25341,01925341,5/1/12,Temblor,,,,
04-019-25342,01925342,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.245216,-120.368002,AW,5/1/12,FP,1005.62,TVD of well,,Fresno,Coalinga,36.245216,-120.368002,3/29/12,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25342,01925342,36.245261,-120.367029,,1005.62,,,,,,,5/1/12,04-019-25342,01925342,5/1/12,Temblor,04-019-25342,01925342,5/1/12,Temblor
04-019-25343,01925343,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.243017,-120.367184,AW,5/1/12,FP,1239.54,TVD of well,,Fresno,Coalinga,36.243017,-120.367184,4/5/12,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25343,01925343,36.243062,-120.366211,,1239.54,,,,,,,5/1/12,04-019-25343,01925343,5/1/12,Temblor,04-019-25343,01925343,5/1/12,Temblor
04-019-25344,01925344,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.248046,-120.365166,AW,5/1/12,FP,1133.99,TVD of well,,Fresno,Coalinga,36.248046,-120.365166,4/11/12,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25344,01925344,36.248091,-120.364192,,1133.99,,,,,,,5/1/12,04-019-25344,01925344,5/1/12,Temblor,,,,
04-019-25345,01925345,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.24571,-120.365087,AW,5/1/12,FP,1279.16,TVD of well,,Fresno,Coalinga,36.24571,-120.365087,4/8/12,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25345,01925345,36.245755,-120.364114,,1279.16,,,,,,,5/1/12,04-019-25345,01925345,5/1/12,Temblor,,,,
04-019-25346,01925346,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.235009,-120.372665,AW,1/1/13,FP,2108.03,TVD of well,,Fresno,Coalinga,36.235009,-120.372665,12/12/12,2117,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25346,01925346,36.235054,-120.371692,,2108.03,,,,,,,1/1/13,04-019-25346,01925346,1/1/13,Temblor,,,,
04-019-25365,01925365,0,A,SF,San Joaquin,Fresno,Coalinga,,,36.245176,-120.361702,AW,5/18/13,AW,1773.71,TVD of well,,Fresno,Coalinga,36.245176,-120.361702,5/18/13,1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25365,01925365,36.245222,-120.360728,,1773.71,,,,,,,,,,,,,,,
04-019-25387,01925387,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.237718,-120.372563,AW,3/1/13,FP,3074.56,TVD of well,,Fresno,Coalinga,36.237718,-120.372563,1/29/13,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25387,01925387,36.237765,-120.371587,,3074.56,,,,,,,3/1/13,04-019-25387,01925387,3/1/13,Temblor,,,,
04-019-25388,01925388,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.236683,-120.37255,AW,3/1/13,FP,2049.69,TVD of well,,Fresno,Coalinga,36.236683,-120.37255,1/23/13,2055,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25388,01925388,36.236728,-120.371576,,2049.69,,,,,,,3/1/13,04-019-25388,01925388,3/1/13,Temblor,,,,
04-019-25389,01925389,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.241172,-120.371668,AW,3/1/13,FP,1658,TVD of well,,Fresno,Coalinga,36.241172,-120.371668,2/12/13,1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25389,01925389,36.241216,-120.370695,,1658,,,,,,,3/1/13,04-019-25389,01925389,3/1/13,Temblor,,,,
04-019-25390,01925390,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.237765,-120.370918,AW,3/1/13,FP,2099.52,TVD of well,,Fresno,Coalinga,36.237765,-120.370918,2/3/13,2140,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25390,01925390,36.23781,-120.369943,,2099.52,,,,,,,3/1/13,04-019-25390,01925390,3/1/13,Temblor,,,,
04-019-25391,01925391,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.236503,-120.372597,AW,3/1/13,FP,2098.89,TVD of well,,Fresno,Coalinga,36.236503,-120.372597,1/18/13,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25391,01925391,36.236546,-120.371622,,2098.89,,,,,,,3/1/13,04-019-25391,01925391,3/1/13,Temblor,,,,
04-019-25392,01925392,0,A,OG,San Joaquin,Fresno,Coalinga,Any Area,Temblor,36.241367,-120.370667,AW,3/1/13,FP,1654.94,TVD of well,,Fresno,Coalinga,36.241367,-120.370667,2/16/13,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-019-25392,01925392,36.241368,-120.370667,,1654.94,,,,,,,3/1/13,04-019-25392,01925392,3/1/13,Temblor,,,,
