time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1974-12-31T22:03:13.360Z,36.9315,-121.4591667,5.226,3,md,49,58,0.08649,0.09,nc,nc1022401,2016-12-14T23:04:32.130Z,"Central California",earthquake,0.17,0.58,0.63,12,reviewed,nc,nc
1974-12-31T21:08:04.910Z,36.9191667,-121.475,4.194,3.3,ml,73,52,0.03243,0.12,nc,nc1022398,2016-12-14T23:04:12.510Z,"Central California",earthquake,0.16,0.37,,0,reviewed,nc,nc
1974-12-31T20:52:11.150Z,36.9333333,-121.4605,5.496,3.17,md,37,58,0.04595,0.09,nc,nc1022397,2016-12-14T23:04:03.790Z,"Central California",earthquake,0.2,0.53,0.42,7,reviewed,nc,nc
1974-12-31T20:32:48.520Z,36.9328333,-121.4606667,4.644,3.64,md,48,58,0.04595,0.1,nc,nc1022396,2016-12-14T23:03:51.460Z,"Central California",earthquake,0.17,0.47,0.59,20,reviewed,nc,nc
1974-12-31T20:29:15.140Z,36.9311667,-121.4601667,4.374,2.5,md,23,57,0.04595,0.09,nc,nc1022395,2016-12-14T23:03:40.442Z,"Central California",earthquake,0.27,0.64,0.52,5,reviewed,nc,nc
1974-12-31T20:24:09.520Z,36.9305,-121.4631667,4.504,3.28,md,19,62,0.04324,0.09,nc,nc1022394,2016-12-14T23:03:33.497Z,"Central California",earthquake,0.36,0.69,0.14,4,reviewed,nc,nc
1974-12-31T20:22:00.940Z,36.9335,-121.4606667,9.074,4.3,ml,76,63,0.04595,0.13,nc,nc1022393,2016-12-14T23:03:25.120Z,"Central California",earthquake,0.21,0.48,,0,reviewed,nc,nc
1974-12-31T14:39:14.800Z,36.9138333,-121.4691667,4.484,2.95,md,26,51,0.03694,0.1,nc,nc1022392,2016-12-14T23:03:13.649Z,"Central California",earthquake,0.28,0.64,0.61,7,reviewed,nc,nc
1974-12-31T03:03:30.430Z,36.533,-121.0878333,9.204,2.61,md,40,65,0.02523,0.06,nc,nc1022391,2016-12-14T23:03:06.320Z,"Central California",earthquake,0.26,0.37,0.6,7,reviewed,nc,nc
1974-12-30T18:28:16.830Z,36.593,-121.8735,4.946,3.39,md,63,167,0.03694,0.11,nc,nc1022389,2016-12-14T23:02:44.940Z,"Central California",earthquake,0.48,0.63,0.51,15,reviewed,nc,nc
1974-12-30T14:46:54.820Z,36.929,-121.4645,3.946,2.99,md,25,61,0.04144,0.1,nc,nc1022388,2016-12-14T23:02:33.974Z,"Central California",earthquake,0.23,0.69,0.44,10,reviewed,nc,nc
1974-12-29T09:51:45.860Z,37.9265,-122.2928333,6.209,3.5,ml,39,65,0.05045,0.08,nc,nc1022384,2016-12-14T23:02:22.660Z,"San Francisco Bay area, California",earthquake,0.17,0.37,,0,reviewed,nc,nc
1974-12-28T23:08:06.400Z,36.932,-121.4596667,6.066,3.44,md,55,46,0.04595,0.08,nc,nc1022383,2016-12-14T23:02:06.860Z,"Central California",earthquake,0.15,0.39,0.23,9,reviewed,nc,nc
1974-12-28T13:39:30.160Z,36.8908333,-121.2596667,5.616,2.66,md,28,88,0.04054,0.06,nc,nc1022381,2016-12-14T23:01:48.716Z,"Central California",earthquake,0.25,0.53,0.33,7,reviewed,nc,nc
1974-12-28T11:52:26.970Z,39.9808333,-120.0003333,3.061,2.8,md,3,324,0.5018,0.05,nc,nc1022380,2016-12-14T23:01:41.340Z,"Northern California",earthquake,3.07,8.12,0.02,3,reviewed,nc,nc
1974-12-27T22:02:13.820Z,34.5698333,-117.1238333,5.13,2.6,mh,,,,,ci,ci12322911,2016-01-29T01:13:47.630Z,"10km NE of Apple Valley, CA",quarry blast,,,,0,reviewed,ci,ci
1974-12-27T12:18:44.000Z,34.1688333,-120.259,6,2.8,mh,10,277,,0.37,ci,ci3317607,2016-01-29T01:37:53.070Z,"18km NNE of San Miguel Is., CA",earthquake,2.62,31.61,0.166,13,reviewed,ci,ci
1974-12-27T12:12:11.510Z,40.8028333,-123.4268333,29.394,3.9,ml,12,270,0.2423,0.11,nc,nc1022376,2016-12-14T23:01:36.284Z,"Northern California",earthquake,2.81,2.88,,0,reviewed,nc,nc
1974-12-27T07:45:01.270Z,36.9101667,-121.4725,4.856,3.44,md,47,51,0.03514,0.14,nc,nc1022375,2016-12-14T23:01:30.370Z,"Central California",earthquake,0.18,0.49,0.45,10,reviewed,nc,nc
1974-12-27T04:49:45.260Z,36.9261667,-115.9993333,6,3.25,ml,5,288,1.7,0.66,ci,ci3317606,2016-01-29T01:33:17.090Z,"67km E of Beatty, NV",earthquake,4.27,31.61,0.184,4,reviewed,ci,ci
1974-12-26T23:40:36.920Z,36.927,-121.4635,4.046,2.72,md,26,61,0.04234,0.12,nc,nc1022372,2016-12-14T23:01:09.611Z,"Central California",earthquake,0.24,0.72,0.22,7,reviewed,nc,nc
1974-12-26T13:56:11.680Z,36.916,-121.47,6.096,2.88,md,78,46,0.03604,0.11,nc,nc1022368,2016-12-14T23:00:49.030Z,"Central California",earthquake,0.14,0.34,0.32,15,reviewed,nc,nc
