"2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec"
154717,133717,221844,240042,321806,362541,347667,302560,390358,477903,523828,489201,561163,540815,950481,724453,915573,1111694,975847,959134,933339,1162142,1121068,1405727,1365134,1185206,1184453,1245726,1461392,1153325,1093476,1291320,1212477,1197700,1139706,1009077,984334,882718,1031046,1104493,1131956,970682,1155878,1078816,1121531,1003677,980611,970520,861349,755478,787678,715840,696963,647649,653744,639415,586111,580205,514093,456695,449818,431503,449386,371799,414067,427098,396933,435002,406246,450999,421585,412608
69312,101949,188186,115287,171602,178393,140472,145358,125631.5,146419.5,104496.5,106083.5,70927,58058,69785,44172,26043,42885,62510,84038,106492,110268,111317,171471,246823,281675,627639,500851,435205,164452,276276,807647,807474,841868,699774,475594,887431,1006526,1242771,1127412,967943,849815,803106,748899,650690,542445,542443,524987,728339,756017,826079,713892,630146,533351,521292,355758,333691,354688,271075,191470,160030,185770,208828,204623,350871,304635,327226,366535,333779,313766,354420,325202
352491.67,326724.67,324018.67,349360.67,321147.67,341449.67,336445.67,324071.67,349883.67,325844.67,362426.67,356309.67,351486,370651,364014,404205,321333,374910,497369,456245,658196,885461,700446,802324,658162,413524,579679,616128,686809,671827,658485,681793,660726,713611,613914,643971,654156,554991,569162,589825,568581,540941,576620,550065,513688,555878,503462,547144,596295,574352,626113,697223,551609,624288,616688,782574,607629,623657,547384,547812,568301,525352,494465,373603,361075,299679,319205,349571,351332,367016,436621,334304
66671.87,44292.86,56179.17,41357.79,44345.23,44678.11,44284.45,48026,36491.21,49782.82,58405.65,103004.6,104522,65644,71653,47896,59196,152356,138955,122011,117468,151801,94837,52210,52349,41844,56321,64080,58780,42455,63085,45605,33727,34549,31123,25061,28107.17,22308.23,29426.21,26987.36,29010,33083.59,30313.8,33618.53,32247.43,29746.02,36982.49,111468.62,134575,140761,165443,120065,123971,95288,104693,88195,51989,29817,29769,61629,35046,33694,77387,64738,152216,412621,539606,298458,478098,360818,476565,397099
1457300,1440825,1389205,1609216,1755379,1570709,1594159,1412980,1484551,1658274,1602655,1800937,1734005,1403182,1448859,1522758,1797993,1617077,2538863,2459603,1694776,1621923,1998235,2218146,2066880,1388682,1531952,1738655,1655761,1589138,1641826,1870809,2122037,2039221,1976158,2026633,1963394.25,1668625.06,2081254.51,2260907.24,2286991.93,2413518.87,2713517.75,2732784.42,2760774.47,3118409.14,2884327.99,2951277.31,1706995.04,2378423.45,2942858.6,3096429.35,3714000.16,3517807.47,3582220.24,3585028.04,3275962.67,2610604.69,3032912.54,3077307.53,3624313.49,2969974.03,3328806.31,2989554.12,3170436.24,2682253.42,2853065.54,2290164.48,2632406.92,2602505.7,2470862.96,2193645.28
76896.3,70805.3,78933.3,91901.3,82672.3,20066.3,13273.3,15143.3,105687.3,155778.3,423381.3,429537.3,331425,215784,450147,586026,475583,330616,581280,515082,598745,482975,447251,797302,725513,688555,675746,952760,1244884,1536775,1515654,1717287,1130216,1462895,1604755,1285588,1247534.3,1120533.3,1449838.3,1385533.3,1681446.3,1542221.3,1758410.3,1734080.3,1698174.3,1669626.3,1678555.3,1850641.7,1589959,1863861,2364042,2138201,2171398,1941129,2367549,2271493,1848091,1825137,1322561,576994,701780,731891,1086339,953559,1017512,904656,1150733,1073172,1027339,1070547,1065114,1041483
1112810,726804,864695,453642,984107,721553,403764,935866,1083461,1011848,1096095,1023876,988125,726432,733239,941105,1197469,1082283,1140504,1019280,1183411,1063069,908171,862339,1027436,951003,847119,1059002,1318456,1278965,1136177,1185614,1154465,1155068,1122568,1356053,1630342,1437482,1553665,1325114,1235088,1533012,1235507,1372594,1470373,1294388,1343798,1205162,762095,501976,683591,699793,823481,619443,720467,746159,811192,750469,341285,413644,517680,557078,584089,400972,458095,585491,587738,578706,595583,630986,520611,558223
240128,28727,224579,200682,205200,206721,237219,240518,343552,380135,433104,564810,280038,483780,550761,501644,531316,439282,363874,369988,433938,514018,527014,411811,941641,648754,757197,648322,726769,861397,892295,881185,1253811,1125375,812107,527918,1114768,1060216,1266164,1502833,1964803,2309863,2479929,2250203,3098091,3806311,3430192,3913157,3666507,3106859,3441497,2753195,3062713,3307443,3326763,3096070,3035355,2785458,2417062.8,1934113,1919302,1590700,1505127,1254217,1370304,1294360,1245331,1327561,1302058,1281175,1147693,930022
133672,108294,167856,201143,146035,205076,287010,392312,337831,335659,379074,331650,306767,275471,292884,320857,246657,470413,534009,667014,703379,680934,1009033,1127640,1134236,857080,983053,1010679,946479,885303,946603,999124,1146122,1287285,1375160,1510611,1318418,1261205,1659726,1703391,1850300,1829132,2078076,2981861,3149416,3206157,2880265,3139217,2628784,2749333,3162333,3074731,2896940,2792784,2786079,2612760,2498040,2521255,2219098.3,2176559,2272469,2139161,2063044,2001536,1925265,1644807,1546142,1531507,1495838,1549103,1416444,1509768
236935,262677,280261,449137.3,294971,290534,248238.2,253768,261206.3,298120.19,328546.66,399363.2,409183,321726,280393,304530,395927,424603,442648,417665,446669,493640,489221,521273,569654,499168,591795,769422,699859,490385,477521,566673,470463,536235,433560,545422,621750,697611,1044578,925423,1087335,1042677,1059482,1183831,1148881,1064295,950256,771702,925976,1023575,1006406,1017617,1003022,1017715,947175,1019678,964343,870514,737464,670754,757240,787428,830523,730425,701446,675760,615946,636982,538559,554821,512758,525492
