"2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec"
392809.93,326596.84,422487.93,369843.9,382776.93,419086.9,426863.93,405880.93,427926.9,472700.93,431296.9,417024.93,446434,418837,459207,470137,569448,525590,531409,490509,526074,564616,568438,566257,547654,485455,600673,561879,546661,552833,840555,801776,977735,946899,968908,834366,953499,1119515,1255918,1344151,1329655,1848060,1583208,1598031,1637778,1924874,1792224,1756226,1818331.36,1614780.68,1670571.36,1605209.8,1590359.36,1631785.8,1831703.36,1798326.36,1378707.8,1245214.36,1200077.8,1210414.36,1181076.39,1121186.01,1058903.89,1130932.7,1114978.39,911610.7,850514.39,937323.39,842030.7,807295.39,790893.2,717568.39
80875,72089,79279,79317,69274,69932,71151,68314,68650,76864,71026,76130,68169,62049,67220,70748,65045,83698,105542,120890,242617,254239,301312,232028,281503,349069,484277,478740,659525,538399,714854,737300,907303,1081717,1541338,1619024,1503745,1079927,1493848,1886345,1891633,1974458,2108065,2278672,2328561,2288779,2251130,2308766,2305492,2083547,2200281,1978084,1919139,1649229,1779641,1709492,1715249,1645560,1558737,1675918,1328033,1338942,1244520,1077561,1036788,1029633,946941,1006843,774053,768155,702904,777907
98950,87964,94493,99705,101077,107653,104257,102682,105302,104190,102866,118804,84470,77127,69885,77686,75570,79588,76990,75841,78468,80935,78246,81546,163349,261703,394159,403969,415559,393445,584145,970710,881750,805946,957766,1298178,942496,957897,1045195,1750969,2446893,2214531,2282265,2262454,2062786,2049508,2164124,2185012,2062654.5,1692767.9,1635083.9,1577813.9,1540512.7,1306015.8,1310140.8,1287509.8,1126478.3,1137773.8,1195364.1,1152801,1007160,922820,805023,660741,464597,619210,470915,630687,598764,568357,529841,393909
488245,484480,532743,520172,535232,509738,579709,519977,521813,514628,511191,624905,496503,461506,519403,576378,578649,574072,582593,567280,637962,792991,798602,750198,532599,471246,606927,761555,782107,684569,884720,971368,1053981,1302894,1566985,1625107,2116342,1794117,1850054,1852641,1749811,1601390,1537385,1558770,1423878,1378872,1132342,998940,967841,1045022,1250180,1299686,1246529,1215693,1224917,1205608,1249320,1378141,1250240,1115278,1070643,1048324,964676,745844,717434,710572,703541,636566,595519,618336,469772,355858
495662.2,474053.2,515265.2,494518,499964.7,504061.2,511145.5,372142.5,505716.5,524381.5,506330.7,512711.8,488948,480924,502757,498361,497467,482910,548851,542122,520936,623256,743763,856441,758606,725886,745075,719327,718915,674577,695315,660502,677574,674505,694215,674191,624472,617189,674582,630704,679368,645218,679390,660130,628182,676319,645240,641940,713627,612752,667168,687883,725013,695877,739077,751201,720447,713765,602983,614397,721414,649252,670158,597821,527012,512834,509294,506869,471533,543895,484887,509049
90449,76042,129593,128783,117941,125800,106892,100075,114585,88355,99255,107092,132311,143785,175678,116875,170801,224404,172444,169575,177493,142582,161484,214877,262629,219712,258139,257214,313292,431542,594541,573580,756047,875203,752688,774419,1003614.06,813892.05,857641.76,822723.02,823995.04,725111.43,761380.74,753322.44,644001.83,575045.45,582785.76,573932.09,529115,499348,604714,537707,608361,614977,481990,397086,592474,589163,414540,288421,215511,226960,229599,198289,190443,207288,222527,237246,217364,208090,195877,203090
100906.16,115366.64,135788.56,133890.58,106425.22,108351.48,123128.16,116923.96,79833.06,145356.31,122459.44,124823.16,123693,151318,162427,155704,198798,237394,200090,188764,178705,164050,161680,178579,138808,129532,166838,266098,291972,368116,607861,700679,637406,917125,1025028,1051883,964504,984104,1193078,1263458,1325188,1274151,1170798,1330347,1457441,1649820,1504659,1485670,1284290.66,1016104.9,1098761.6,1039212.3,1228276.1,970960.5,1086173.4,1046541,911188.5,1052648.3,971653.1,816049.3,855107,765258,835786,808909,802966,880449,832337,766578,760805,844244,783811,753875
1083821,937533,1166555,1021905,1048242,1089174,1107942,990846,1067130,1092737,1136047,1111376,968764,947473,1619029,845696,862122,891514,920108,973074,888816,949413,911796,887536,1119366,1240101,1091491,1146143,995875,1057609,1037606,970858,971048,1053121,1057872,1149887,1465940,1384094,1589668,1547055,1487523,1319177,1445462,1364978,1318865,1364988,1186379,1304006,1352796,1106149,1150496,1075587,1135085,1079484,1236875,1101538,986633,975247,942586,744739,849582,748672,599183,587925,533507,484566,638554,386826,425361,442883,474815,467935
129991.5,121048.5,122718.5,142225.5,199058.5,171177.5,155999.5,216477.5,165735.5,163074.5,155042.5,164140.5,187193.5,151475.5,224633.5,310860.5,430341.5,445580.5,401779.5,482820.5,468041.5,546355.5,544603.5,670996.5,600082.5,543928.5,500353.5,542931.5,706999.5,726732.5,715524.5,680095.5,656885.5,777879.5,669610.5,644560.5,1231961.5,1275715.5,1250043.5,1385159.5,1584465.5,1585317.5,1632804.5,1696435.5,1639626.5,1663191.5,1809913.5,1869196.5,2161984.5,1802468.5,2011410.5,1834545.5,1948095.5,1753264.5,1803352.5,1719808.5,1507505.5,1458494.5,1683148,1582816,1443636.5,1329637.5,1461170.5,1378492.5,1317877.5,1236856.5,1080612.5,1026687.5,1018028.5,1148815.5,1120376.5,1115435.5
160052,263669,309167,342968,392230,401009,436331,481893,453434,454359,380639,276329,616611,591982,564813,564352,394218,728537,718221,1001247,794995,866337,882640,922552,256196,252505,258380,263315,268466,269085,212658,214665,216096,231399,227480,220217,1116396,914745,1090579,1068193,1004853,1011237,1002221,944680,1246625,1226249,1130252,1158867,991151,929256,1193495,1298696,1349104,1287825,1339958,1385906,1319445,1251006,1070344,1126204,1075248,954593,1144293,1197699,1362317,1397311,1375565,1505538,1365911,1468039,1314848,1247002
178062,143603,220798,179639,168941,188429,194212,177198,179963,162867,188537,198551,166278,168796,214388,189848,207494,207219,225037,233571,222041,216907,236280,226725,223609,190440,206878,237384,277756,266925,277036,298785,273072,296218,283031,258964,252937,236500,285003,321468,299113,272999,382555,370102,349078,379972,413904,399644,346022,266553,296677,284037,305374,258560,263720,259481,251251,338913,400511,442091,314408,343300,377240,360638,390715,282542,315997,353990,329151,378438,379715,384766
8736,7532,8825,8528,6829.1,6805,10042,9619,8940.1,9153,9037,9272,8875,9110,9086,9524,9581,8613,9221,8491,9287,9426,8699,8246,11307,7564,13336,12195,16991,22990,19458,20243,15463,16606,15190,16151,27563,27251,28697,27763,30011,26702,54075,59488,109524,100900,88025,82721,36622,35506,44630,45144,43295,23145,10524,26425,27679,29027,24293,26568,10704,9716,10236,9045,8474,16775,31050,35875,35299,32487,25392,30313
285725,349503,399391,367920,332497,365627,387001,349684,364420,318665,283261,307817,330471,319877,277103,276197,287261,281563,250227,308705,376655,602619,711443,481092,256619,247283,224565,170394,190994,171860,186984,153755,160398,147803,151127,172465,180939,179268,259394,221055,261686,227845,188122,119379,151559,144756,148817,142044,162133,112910,114296,117975,110978,93998,86016,59336,100336,105924,70012,52553,31297,33259,44367,77796,99711,99017,101541,109524,97565,88082,91953,92254
2917100,2381856,2681067,2303957,2431943,2334415,1932069,1792012,2006346,2556459,2313502,2487268,2250299,1828372,2155252,2045093,1776024,1684524,1762705,1822792,1506558,1393279,1770240,2095645,1985585.67,1783398.67,1706213.67,1331522.67,1191073.67,1155721.67,1652429.67,1596916.67,1517960.67,1333290.67,1350501.67,1359199.67,1139230.67,1149311.67,1471326.67,1214771.67,1397957.67,1344634.67,1573757.67,1545386.67,1310669.67,1329597.67,1210570.67,1418313.67,1330929,1144661,1266227,1067266,975343,1011789,1040945,1163676,1110060,1115431,966109,979940,913081,958195,985918,950098,674069,681716,609405,638361,742290,918865,921785,929262
1784236,1577596,1710263,1661524,1633394,1521365,1572111,1826542,1767362,1739057,1772386,1944897.4,1722283,1383089,1587916,1512974,1450906,1458847,1386478,1321279,1305312,1314037,1106508,1279622,1502009,1448578,1337255,1430320,1685049,1526769,1595735,1438677,1401846,1251847,1422435,1375007,1746160.83,1514395.83,1643629.83,1505312.83,1532363.83,1487534.83,1492443.83,1467235.83,1162500.84,1272160.84,1235726.84,1216178.84,1541101,1399179,1379365,1268108,1307291,991355,1433725,1648232,1679743,1658124,1371093,1237406,1193267,1117891,1101749,1014145,1010965,896112,937545,948819,979927,945203,891228,819266
362356,324850,371339,360346,374778,362522,376623,383182,394890.3,402212.7,380612,383235,379676,422360,442376,468940,497011,465489,486940,499561,518147,541540,510139,520695,509756,449701,484330,471000,493563,505843,520697,516259,499707,528012,494831,497183,571739,483868,546331,535537,556365,539167,579147,582971,514894,570653,512798,527878,505438,478617,474857,476151,451664,419757,445168,455972,436768,486409,422003,458264,455713,433132,432514,397487,421589,397959,363525,400159,454961,379217,249914,266388
288610,198300,161612,241993,248091,177588,191278,210504,253697,307644,342064,380842,389222,355865,410618,415861,476214,474998,525621,480128,359322,360298,767184,970386,626512,903531,1193349,800286,525151,691233,762203,1119958,1213880,1156196,604930,901493,1199953,1085575,1047873,1074235,1167590,1229424,1261454,1151749,988856,980904,1029303,975648,978751,849396,1088032,1054963,1129440,818056,951340,1113208,1391151,1496611,1279946,1351240,1297848,919728,910389,842646,1052304,967594,940512,1089114,1025826,1438870,1477850,1240865
77116,60303,89341,75190.45,81674,72488,72510,64627,66859,34833,23090,14127,8431,4120,3109,3852,9709,8474,10890,17288,13778,16852,14876,10864,26753,21221,16848,18279,20229,18517,6669,13173,14881,17488,21191,31334,32930,29647,47804,42940,44377,41584,37271,40875,40920,43882,36520,41235,35790,27848,31976,31338,32131,34922,35164,29063,30300,7577,23873,19940,25181,21135,24128,22127,22615,21137,20745,9248,4784,21356,30958,27494
173167,163220,177689,171306,159832,141569,180455,172854,165555,189299,165323,184063,178596,391336,404821,363490,508526,676090,653638,594796,540118,583849,539183,498164,614224,501151,436999,432674,368682,445299,485039,472158,453005,472017,461275,471824,443155,418005,416485,457243,463199,377159,459060,381670,402762,370278,375430,385135,328219,288630,356639,348610,321438,376426,374781,437454,699141,1276362,1025225,558504,919092,853479,736986,724607,653694,602024,604177,515464,463485,493933,734094,922866
1287695,1078603,1341530,1373339,1460190,1315894,1116537,1077243,1302460,1462082,1276576,1377395,1034666,1363631,1042044,1079091,938884,949337,943160,895933,682608,504502,554182,624088,849716,780888,787009,604867,538764,676813,732879,741809,732062,775965,750106,773700,784875,781101,913929,764165,701785,514355,657846,721644,607561,471140,424601,428925,433331,365532,619759,558092,301354,366052,393514,465594,414140,374053,284338,294599,316758,327554,364599,333424,206804,204797,168719,317911,335969,332705,307269,273855
1329069,1073811,1195374,1141986,1223376,1234479,1299302,1215390,1160654,1374475,1254327,1232036,1144948,1162278,1270974,1134920,1118856,1218215,1387985,1408565,1364635,1342251,1280445,1227441,1311233,1151991,1308507,1188166,1248219,1206247,1530539,1469438,1369421,1257017,1451792,1331626,1199142,1352185,1435303,1447904,1400737,1339388,1398497,1425636,1324840,1423914,1375402,1368728,1317125,1169705,1318693,1240976,1184846,1028651,1042535,1074733,1013248,1075524,1035154,1126798,1129996,993730,947138,857777,802595,727890,831258,844558,803770,794238,789733.7,767919
4625089,4875368,5517197,5333064,4837904,4998974,5559500,5539205,5331477,5546394,5058738,4790142,5627479,5248877,5969191,5353628,5250389,5686713,6216444,6231794,6170038,6133231,6147605,6083695,5845956,5127163,4887723,4536344,6195258,5994727,5828208,5849220,5914989,4589576,5002539,5967668,6051515,5108611,5435552,5319472,6122035,5864856,6010809,6003482,5488309,5627357,5373795,5911152,6024031,5602308,5664282,5315221,4976857,3417827,3312115,4082103,4851024,4874477,4593698,4693440,4123713,4249967,2038850,1216880,1239671,1238517,1219344,1149796,1127729,1142937,1206982,1263142
121259,104337,119862,115640,115076,107818,112779,118241,121946,114909,111146,111305,113394,111996,121189,109470,111834,105661,106359,114352,102161,110681,100312,102197,16006,15218,16621,11101,16610,6252,16462,21039,18943,9933,13381,17244,16677,10907,21071,14501,14073,12580,12531,12534,13425,13404,9267,3048,11524,12016,11055,10289,24955,21676,21335,25522,27501,17256,13233,13213,11851,10103,10824,12557,16868,17312,16642,17054,9474,6093,8898,5985
412328,415360,456993,441537,463804,460961,429933,429408,388704,437568,420323,385631,507089,335704,415154,407456,434229,446348,427456,423215,408452,454431,395413,417553,414575,425330,419133,366390,363635,373708,379371,544725,319112,365754,298533,315729,416951,428460,411708,473479,443285,382922,364051,365077,353385,366961,333204,341169,309033,302282,321380,320298,316840,314869,318487,255037,256518,243998,224036,232666,294062,272042,180429,164445,145396,171841,162165,192994,188870,191915,177984,178288
1089090,875096,1128537,1015938,1112613,1188683,1193327,1086450,1036839,1048765,995111,933773,826652,776933,795513,729928,693794,651351,634270,585554,558637,510488,528628,553625,557296,469306,496475,495670,518439,530598,569486,612669,621265,630508,632351,715482,822435,785623,746437,436165,431693,378411,366201,369937,327837,318867,278550,338223,332004,285097,328571,304076,292585,259514,292893,278300,315139,329912,351669,362722,406313,346899,322746,323790,354754,297160,287048,325117,334628,308611,314426,317992
4045934,3352316,3759040,3533975,3623250,3662243,3692015,3772575,3930805,4007277,3773403,4186328,4340742,4146062,3997421,3950099,3958553,4162334,4229553,4189789,3580609,3723542,3688407,3717206,3436253,2983582,3145512,3613291,3663942,2728165,3570843,3707580,3419441,3162021,3288075,2907701,2990717,2715574,2983319,2999154,2767378,2802770,2713683,2796614,2600715,2562786,2385287,2410963,2330646,1976789,2101186,2334683,1755476,1955066,2067834,1997432,1739736,1793097,1421524,1280770,1265521,1136892,1060009,956791,888702,1032756,1009941,1070762,1078267,1035818,908799,832168
915637,807831,935567,930930,1058489,1270401,1254376,1267326,1294729,1312124.52,1247080,1240111,1102339,1237686,1365789,1339526,1457958,1403396,1365140,1308065,1295276,1192290,1062129,1362336,1052517,1067093,1078636,1002975,939877,1035206,1494001,1789528,1630672,1482026,1654870,1569221,1579640,1406514,1708892,1832120,1894665,1779872,1780325,1683285,1682887,1689094,1627600,1783276,1692876,1527583,1658169,1590829,1443220,1352793,1373341,1385618,1215373,1303772,1425376,1340453,1321893,1212785,1190808,1079880,1214578,1231790,1268660,1174269,1164661,1156176,1174535,1197611
205962.6,185531.6,206510.6,199764.6,206664.6,191401.6,202803.6,195962.6,190838.6,191207.6,189420.6,191639.6,184844,177298,186074,185472,184294,181257,172986,177953,172616,182087,178581,179598,147784,135411,138329,133503,134941,130782,135985,125484,120761,119731,118051,116045,122699,117625,116285,119694,119022,122953,126702,127081,123051,127722,123231,124854,130267,122368,128819,129480,129886,128073,126663,93172,113256,117412,169244,153786,131479,154074,163883,174820,163494,163370,141991,160271,242103,275883,312172,312751
40714,29507,44731,37883,33640,48672,40878,34855,38623,42639,39836,40667,41170,43227,31395,35716,40188,40668,32200,36013,34811,28187,28478,27726,19485,17416,20496,13044,2325,3347,2298,1993,2106,2041,1556,1010,695.3,780.7,209,211,208,241,968.5,1289,789.3,1895.5,1751.4,2674.3,1475.9,1600.6,3563.4,2820.9,3094.7,1573.4,1984.7,1012,3005.5,2816,1482.2,1170.3,110993,188702,153462,221708,159343,123453,146850,181150,301367,181391,265676,207869
97731,56018,126516,141335,98242,95095,149796,138023,99761,169955,142237,150374,131980,142379,241616,235540,235459,317422,219801,185339,259221,276910,356905,407223,436982,333291,355596,386470,355929,318451,272158,285251,290750,263911,299216,306903,351199,323270,320856,279530,337093,357280,306893,315968,330954,332044,298340,294048,365799,380625,403553,392319,344879,428639,476975,378394,416081,433038,376156,394699,528253,492048,423723,476280,472061,477107,534855,487941,505031,383668,484643,544454
1297489,1164790,1242036,1221602,1264709,1289020,1372263,1375802,1298017,1275225,1297482,1367210,1412319.1,1299490.1,1354000.1,1295768.1,1327144.1,1303519.1,1358749.1,1390396.1,1379217.1,1446877.1,1426008.1,1449968.1,1449040,1303041,1407860,1431521,1511246,1465273,1468611,1478699,1362830,1449081,1436751,1374901,1472831.483,1444993.083,1891925.083,1904768.083,1835887.483,1843671.283,1721842.883,1753894.283,1792095.883,1865983.28,1827663.88,1784392.093,1820276,1842135,2115299,2123800,2281781,1968426,2442592,2555607,2426225,2647856,2694450,2705483,2646549,2344016,2317566,2349534,2279507,2375234,2203221,2175991,2181475,2231488,2070900,2175407
86292,92150,87693,2069,91139,67564,120216,32618,80133,136288,160808,155390,123417,66961,192444,182779,139776,312444,312195,226112,427014,360643,427251,291846,201661,338170,347625,281677,276084,192981,201128,207696,179650,160575,163374,164474,153220,157037,189742,149696,171095,190201,299486,311428,87524,256296,320834,321854,356208,271943,365636,349625,340781,460655,378605,392136,409893,457912,369465,350938,320981,342583,256859,323704,355157,355213,258991,281062,223149,178929,75068,67859
198875,173639,196609,185733,243782,183549,180185,212356,235095,242116,251735,241252,242708,247740,275191,268551,268951,257553,252707,279888,246345,237239,282917,280191,284593,229733,254211,263689,257570,232211,256079,267238,249110,227055,232713,238916,244573,236604,246061,249649,265992,245291,258497,251384,243560,210577,256816,234310,210389,219086,240234,196152,210987,179441,192508,206255,194500,188725,240381,217362,188573,200195,250120,252868,279403,277182,308557,285289,298376,356568,278552,328434
2895312,2629644,2883273,2835544,2888614,2753570,2790945,2690575,2714849,2908148,2844905,2929320,3114968,2844800,3016522,2910330,2819315,2929471,3053836,3063435,2954804,3036513,2934657,3063599,3216698,2995480,3255559,3126131,3135718,3183084,3405957,3525837,3304536,3425200,3493062,3592434,3766110,3442729,4011302,3883695,3948451,3872332,3881113,4085169,3927326,3960537,4089057,4025018,4301285,3797817,4126227,3917951,3960144,3887854,3967653,4130628,4038775,3916792,4015373,3868146,3994126,3638105,3440264,3481929,3636307,3525560,3756201,4026429,3794315,3591272,3557778,3756570
66079,66028,68373,75614,83450,73706,78383,72656,80401,81384,83109,79708,102441,72570,78991,79743,88461,79455,77779,77803,75975,75375,72637,77394,81830,71489,80601,71247,74370,70081,68627,68098,59333,72362,75825,78395,76453,69504,72647,70476,71261,65067,74594,72604,70823,73943,71945,71072,71626,64928,79578,74596,74521,68084,68484,69214,64702,67996,65338,109061,33768,45949,34877,99452,241016,172988,116934,136218,120226,167707,124802,95209
422499,211495,235283,351345,376116,372440,434469,359549,365678,388982,306230,287805,329266,437102,460696,477391,415309,336290,422894,363258,218929,317177,325572,227558,428472,499115,378973,477669,576261,346239,479708,346688,305334,397829,300370,382963,452252,458284,388174,412125,325524,392731,430194,379502,305101,479104,318835,328920,257841,227379,243992,237705,348287,319569,255406,292338,287919,296333,369575,409863,238328,322034,535524,482029,352119,313206,339575,263864,174756,198198,149167,128099
0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,66,66,66,66,66,66,66,66,66,66,1466,1866,9030,4420,4010,3410,3410,3410,3410,3410,3410,3410,3410,3205,2800,2500,2300,2300,2150,1920,1900,1700,1720,1700,1550,1550,1160,900,900,900,900,900,900,900,900,900,1700,1700
1030,0,27295,17884,19383,17533,18346,20005,17719,19787,21870,18470,20690,21601,23233,22500,20907,20954,21855,22314,22429,21809,20785,21039,22296,19132,21711,18689,20079,9643,18643,19690,17770,21129,21102,21794,21802,18843,20943,20927,20713,21460,20349,21010,20680,19941,15686,18288,21178,16595,19334,19586,19122,19354,19053,18337,16553,17799,16969,17190,18166,16858,18712,18209,18007,18469,18251,16842,15852,16747,16363,16694
249076.33,224187.33,228596.33,232657.33,209629.33,220180.33,225360.33,228687.33,223679.33,214865.33,227120.33,218012.37,222136,182888,200211,207994,220112,221945,211103,215457,217132,234449,235755,230475,258530,228457,240593,231915,244989,232284,238424,253162,249267,244236,238863,244588,215253,206866,220084,213692,216283,200542,226471,215636,224059,216636,216220,204590,188910,170627,190265,170929,191410,190844,179176,208335,220990,228812,216943,235718,261364,226588,237845,247474,256048,229517,233685,244783,228293,269336,276791,267978
16462,14800,11808,17077,17222,18517,18610,17205,19682,19171,18722,17269,17639,17492,19295,19867,17870,18900,18949,10949,16327,19039,18495,19720,18345,19141,18728,17932,18790,21784,22730,23393,158931,21776,19958,19420,19532,20937,24390,23018,23956,13260,14082,14421,26117,26801,29112,21436,12652,19681,13539,19306,17169,28409,25653,18648,26584,26929,26060,23305,21348,20332,21279,18851,18594,19935,19393,18740,18623,19002,17975,18940
51376,46956,54472,44194,50933,45524,38232,32281,33784,36437,36775,31575,57002,70089,56418,55138,49483,42564,63934,67360,76365,73454,75095,65982,85236,72277,81716,75729,76119,64398,72429,67582,78628,77590,46910,68780,71153,72687,75492,60792,46339,5630,5640,14604,13839,16395,19826,27153,54164,41227,54599,36367,17526,5430,5415,5440,5455,5435,5425,5430,2425,2435,2644,9395,8964,8188,11928,9957,4409,8630,10075,9838
